knl_name,knl_file,atm,vskip,smf,tg_num_perCU,ps,subGU_m,subGU_n
_ZN5aiter54fmoe_bf16_pertokenInt8_g1u0_atm_opt_silu_1tg_ps_32x512E,fmoe_bf16_pertokenInt8_g1u0_atm_opt_silu_1tg_ps_32x512.co,1,1,0,1,1,32,512
_ZN5aiter43fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x128E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x128.co,0,0,0,1,0,32,128
_ZN5aiter43fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x448E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x448.co,0,0,0,1,0,32,448
_ZN5aiter46fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x512E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x512.co,0,0,0,1,1,32,512
_ZN5aiter51fmoe_bf16_pertokenInt8_g1u0_atm_opt_silu_1tg_32x512E,fmoe_bf16_pertokenInt8_g1u0_atm_opt_silu_1tg_32x512.co,1,1,0,1,0,32,512
_ZN5aiter46fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x192E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x192.co,0,0,0,1,1,32,192
_ZN5aiter43fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x192E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x192.co,0,0,0,1,0,32,192
_ZN5aiter43fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x320E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x320.co,0,0,0,1,0,32,320
_ZN5aiter43fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x512E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x512.co,0,0,0,1,0,32,512
_ZN5aiter43fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x256E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x256.co,0,0,0,1,0,32,256
_ZN5aiter46fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x128E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x128.co,0,0,0,1,1,32,128
_ZN5aiter46fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x256E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x256.co,0,0,0,1,1,32,256
_ZN5aiter46fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x384E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x384.co,0,0,0,1,1,32,384
_ZN5aiter43fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x384E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_32x384.co,0,0,0,1,0,32,384
_ZN5aiter46fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x448E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x448.co,0,0,0,1,1,32,448
_ZN5aiter46fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x320E,fmoe_bf16_pertokenInt8_g1u0_silu_1tg_ps_32x320.co,0,0,0,1,1,32,320
_ZN5aiter47fmoe_bf16_pertokenInt8_g1u0_smf_silu_1tg_32x512E,fmoe_bf16_pertokenInt8_g1u0_smf_silu_1tg_32x512.co,0,0,1,1,0,32,512
