knl_name,knl_file,atm,vskip,smf,tg_num_perCU,ps,subGU_m,subGU_n
_ZN5aiter49fmoe_fp16_pertokenMXfp4_g1u1_novs_silu_1tg_32x512E,fmoe_fp16_pertokenMXfp4_g1u1_novs_silu_1tg_32x512.co,0,0,0,1,0,32,512
_ZN5aiter49fmoe_fp16_pertokenMXfp4_g1u1_novs_silu_2tg_32x256E,fmoe_fp16_pertokenMXfp4_g1u1_novs_silu_2tg_32x256.co,0,0,0,2,0,32,256
_ZN5aiter52fmoe_fp16_pertokenMXfp4_g1u1_novs_silu_1tg_ps_32x512E,fmoe_fp16_pertokenMXfp4_g1u1_novs_silu_1tg_ps_32x512.co,0,0,0,1,1,32,512
_ZN5aiter44fmoe_fp16_pertokenMXfp4_g1u1_silu_2tg_32x256E,fmoe_fp16_pertokenMXfp4_g1u1_silu_2tg_32x256.co,0,0,0,2,0,32,256
_ZN5aiter56fmoe_fp16_pertokenMXfp4_g1u1_novs_silu_2tg_ps_2tg_32x256E,fmoe_fp16_pertokenMXfp4_g1u1_novs_silu_2tg_ps_2tg_32x256.co,0,0,0,2,1,32,256
_ZN5aiter44fmoe_fp16_pertokenMXfp4_g1u1_silu_1tg_32x512E,fmoe_fp16_pertokenMXfp4_g1u1_silu_1tg_32x512.co,0,0,0,1,0,32,512
_ZN5aiter47fmoe_fp16_pertokenMXfp4_g1u1_silu_2tg_ps_32x256E,fmoe_fp16_pertokenMXfp4_g1u1_silu_2tg_ps_32x256.co,0,0,0,2,1,32,256
_ZN5aiter47fmoe_fp16_pertokenMXfp4_g1u1_silu_1tg_ps_32x512E,fmoe_fp16_pertokenMXfp4_g1u1_silu_1tg_ps_32x512.co,0,0,0,1,1,32,512
