cu_num,M,N,K,kernelId,splitK,us,kernelName
256,128,16384,8192,22,0,50.9228,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,128,16384,13312,22,0,79.4221,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,128,16384,26624,22,0,150.0883,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,128,26624,16384,22,0,107.138,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,128,53248,16384,22,0,141.2763,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,2304,16384,21,0,108.4593,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,256,4608,16384,22,0,107.8069,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,9216,16384,22,0,108.3814,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,13312,16384,22,0,110.1625,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,16384,2048,22,0,21.1463,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,16384,4096,22,0,34.0919,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,16384,6656,22,0,38.0461,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,16384,8192,22,0,59.9,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,16384,13312,22,0,93.0116,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,16384,26624,22,0,176.6064,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,26624,16384,22,0,120.1856,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,256,53248,16384,21,0,151.2215,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,512,2304,16384,21,0,107.5004,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,512,4608,16384,22,0,109.4743,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,9216,16384,22,0,110.9333,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,13312,16384,22,0,114.1209,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,16384,2048,22,0,23.2178,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,16384,4096,21,0,36.11,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,512,16384,6656,22,0,42.752,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,16384,8192,21,0,61.8761,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,512,16384,13312,22,0,97.7111,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,16384,26624,22,0,183.8225,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,512,26624,16384,21,0,138.8661,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,512,53248,16384,21,0,290.6719,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,1024,2304,16384,21,0,107.5816,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,1024,4608,16384,22,0,111.1722,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1024,9216,16384,22,0,114.4692,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,1024,13312,16384,21,0,135.3356,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,1024,16384,2048,21,0,25.9041,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,1024,16384,4096,21,0,41.6209,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,1024,16384,6656,24,0,54.1997,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E
256,1024,16384,8192,21,0,71.1258,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,1024,16384,13312,21,0,107.964,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,1024,16384,26624,21,0,209.6498,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
